Language,Speaker,Task,Dial_List,Accent,Sentence,VQ,Vowel_type,Vowel,seg_Start,seg_End,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,F0_Mean,F0_1,F0_2,F0_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
French,S16,Reading,American,American,P6,M,Low,PÂTE,801.849,968.882,7.575,8.395,8.580,5.808,5.550,5.242,7.094,4.392,2.025,3.153,1.487,1.416,12.034,12.372,15.946,7.960,19.419,21.604,18.056,18.546,22.340,25.147,22.629,19.258,16.543,20.578,17.577,11.582,24.571,24.306,26.723,22.734,188.798,204.014,187.159,175.142,0.678,0.836,0.721,0.484,118.886,129.504,116.423,111.162
French,S16,Reading,American,American,P9,M,High,IL,737.503,902.830,6.253,5.908,6.806,6.074,-3.245,-3.214,-3.562,-2.964,9.498,9.122,10.367,9.038,-0.238,1.217,-0.305,-1.636,11.477,12.855,10.940,10.624,20.614,21.518,19.660,20.633,10.111,9.430,11.616,9.357,21.732,20.458,22.558,22.222,195.758,205.392,191.812,189.970,0.592,0.732,0.511,0.532,115.067,112.875,114.116,118.211
English,S17,Reading,American,British,P1,C,Low,TRAP,979.947,1232.327,3.036,6.538,3.418,-0.830,2.004,4.285,1.065,0.696,1.032,2.253,2.354,-1.526,6.967,9.407,7.063,4.427,22.022,21.914,24.902,19.274,20.332,20.652,24.726,15.695,25.321,27.874,25.864,22.272,24.730,24.190,25.969,24.055,127.636,159.675,134.600,88.542,0.637,0.531,0.656,0.788,49.290,61.932,43.040,38.076
English,S17,Reading,American,British,P11,C,High,KIT,757.910,941.145,2.472,4.037,6.047,-2.569,-1.219,-3.771,5.469,-5.209,3.691,7.808,0.578,2.640,1.808,-3.900,5.372,3.993,12.210,10.092,15.241,11.314,5.819,4.792,8.367,4.312,14.313,13.847,15.566,13.509,22.018,20.288,25.160,20.712,170.893,183.848,169.442,159.299,0.520,0.531,0.434,0.651,59.929,63.902,64.048,46.214
English,S17,Reading,American,British,P13,M,High,FLEECE,898.656,1119.920,4.206,4.641,5.358,2.656,-6.167,-5.529,-5.191,-7.741,10.373,10.169,10.549,10.397,0.356,-1.848,1.007,1.895,12.257,13.304,12.219,11.258,9.865,8.270,9.848,11.456,14.119,12.678,15.384,14.272,23.026,21.476,23.647,23.975,173.429,186.537,169.250,164.631,0.765,0.815,0.755,0.736,97.069,86.402,114.646,87.873
English,S17,Reading,American,British,P14,M,High,KIT,1307.800,1494.492,3.878,5.415,6.137,0.143,0.952,-1.648,5.423,-0.829,2.926,7.064,0.714,0.972,3.899,-3.213,8.323,6.637,11.464,11.565,13.033,9.876,11.783,13.255,12.817,9.269,15.894,13.345,17.573,16.804,22.739,21.372,24.617,22.252,157.194,169.812,155.844,145.821,0.572,0.536,0.466,0.715,59.322,65.110,63.002,49.853
English,S17,Reading,American,British,P16,M,High,GOOSE,940.114,1066.304,3.669,5.044,4.114,1.867,-0.387,1.873,1.712,-4.686,4.057,3.171,2.403,6.553,-0.898,-2.775,-1.134,1.207,8.905,9.861,8.147,8.674,12.098,12.483,10.110,13.730,17.562,17.320,18.731,16.605,23.642,24.356,23.651,22.949,173.432,174.972,172.704,172.588,0.584,0.587,0.605,0.560,76.935,72.440,79.388,78.976
English,S17,Reading,American,British,P19,M,High,GOOSE,697.279,991.147,4.619,5.983,5.122,2.768,-1.146,2.746,0.335,-6.499,5.766,3.237,4.787,9.267,0.222,-1.544,-0.071,2.292,11.275,13.337,10.538,9.937,23.309,21.254,22.503,26.155,17.775,17.976,16.588,18.745,21.131,22.169,21.773,19.461,174.190,187.364,175.849,159.380,0.648,0.635,0.642,0.668,69.395,59.130,74.772,74.284
English,S17,Reading,American,British,P2,M,High,KIT,883.500,1156.624,3.165,5.532,5.705,-1.690,-5.166,-3.917,-2.683,-8.866,8.331,9.448,8.388,7.176,0.546,-1.070,0.710,1.992,9.507,10.264,8.765,9.497,9.649,8.667,12.090,8.245,17.693,16.531,17.810,18.729,22.188,24.468,22.651,19.494,177.850,187.862,167.136,178.357,0.722,0.699,0.757,0.699,84.780,92.374,89.318,61.779
English,S17,Reading,American,British,P21,M,High,FLEECE,969.588,1177.024,5.370,4.999,5.477,5.650,-3.593,-3.942,-2.833,-3.978,8.963,8.942,8.310,9.628,1.047,-1.033,1.686,2.497,14.466,13.902,16.009,13.514,10.901,8.811,11.018,12.824,16.796,15.997,15.117,19.295,23.072,21.406,25.531,22.361,184.770,198.965,185.133,170.226,0.731,0.601,0.805,0.785,101.473,84.919,105.348,113.734
English,S17,Reading,American,British,P22,C,High,FLEECE,1240.837,1486.303,3.174,4.978,5.224,-0.603,-4.122,-0.738,-3.914,-7.683,7.296,5.716,9.138,7.080,2.332,3.274,1.830,1.885,13.511,17.690,14.165,8.711,8.269,8.201,7.175,9.398,17.423,16.330,18.115,17.858,21.736,21.890,23.054,20.323,193.341,207.423,175.544,196.447,0.722,0.636,0.761,0.770,73.692,62.549,81.139,77.081
English,S17,Reading,American,British,P23,M,High,GOOSE,960.844,1213.225,4.870,5.954,6.354,2.334,-3.753,-4.812,-2.479,-3.937,8.623,10.766,8.834,6.271,-0.633,-2.005,-0.583,0.687,9.132,11.590,9.331,6.478,17.735,17.791,18.824,16.582,15.299,15.504,15.925,14.424,21.271,20.547,21.356,21.921,189.562,207.263,191.585,169.864,0.593,0.574,0.579,0.626,84.927,71.231,93.921,89.523
English,S17,Reading,American,British,P24,M,High,GOOSE,1226.749,1427.270,4.057,5.419,5.124,1.672,-5.347,-4.891,-3.995,-7.103,9.404,10.311,9.118,8.775,-0.611,-4.006,0.396,1.799,9.923,10.854,9.551,9.350,20.653,15.914,21.611,24.483,19.829,17.740,21.602,20.236,22.154,22.916,23.320,20.250,166.894,174.124,162.953,163.452,0.699,0.693,0.712,0.691,81.143,75.945,89.139,77.876
English,S17,Reading,American,British,P25,M,High,FLEECE,1119.456,1313.062,2.702,3.298,2.449,2.357,-7.188,-6.456,-7.114,-8.013,9.890,9.754,9.562,10.371,0.409,-1.724,0.831,2.163,13.365,13.937,14.626,11.519,8.523,10.904,6.344,8.231,17.636,13.599,18.697,20.685,22.762,22.695,24.645,21.008,179.767,197.656,178.985,162.381,0.741,0.687,0.779,0.756,78.596,64.432,83.900,87.022
English,S17,Reading,American,British,P26,M,High,FLEECE,1265.081,1472.517,2.832,6.863,5.154,-3.376,-3.182,-1.421,-0.181,-7.822,6.013,8.283,5.336,4.445,0.135,-3.081,1.389,2.087,6.235,8.766,5.423,4.540,6.346,7.654,5.571,5.806,14.232,12.527,14.832,15.323,21.599,23.040,23.777,18.078,158.772,178.170,156.320,142.029,0.735,0.715,0.743,0.754,80.905,75.406,89.280,75.394
English,S17,Reading,American,British,P27,M,Low,LOT,1357.850,1592.944,2.878,2.237,3.776,2.628,-3.625,-5.054,-0.424,-5.370,6.503,7.291,4.200,7.998,5.664,3.738,7.778,5.512,19.720,20.349,18.105,20.689,24.994,25.523,24.816,24.638,8.995,8.808,7.578,10.620,22.103,23.244,23.639,19.472,175.419,186.451,169.789,169.970,0.658,0.700,0.596,0.686,55.263,59.975,57.259,46.780
English,S17,Reading,American,British,P5,C,High,KIT,1144.421,1396.801,2.668,5.079,5.937,-2.968,-1.794,-0.454,3.826,-8.656,4.462,5.533,2.111,5.688,5.256,3.125,8.971,3.788,16.678,21.760,16.056,12.167,15.760,15.845,18.944,12.560,19.620,18.700,21.378,18.825,22.864,22.896,25.219,20.554,168.411,178.701,162.847,163.466,0.645,0.625,0.634,0.710,48.978,46.988,49.176,52.649
English,S17,Reading,American,British,P6,M,Low,TRAP,999.309,1348.492,4.421,6.345,6.512,0.416,1.339,3.527,2.428,-1.937,3.082,2.818,4.084,2.353,8.439,8.398,7.057,9.871,25.051,23.355,24.812,27.015,28.775,24.684,29.262,32.436,29.933,24.387,33.979,31.524,21.272,22.270,21.903,19.634,153.167,165.850,166.688,126.963,0.679,0.607,0.726,0.707,44.795,58.941,41.506,33.057
English,S17,Reading,American,British,P7,M,High,FLEECE,1100.667,1368.605,2.807,5.441,4.441,-1.380,-6.591,-4.900,-6.162,-8.679,9.398,10.342,10.603,7.299,0.679,-1.492,0.927,2.573,12.055,12.635,13.824,9.758,11.876,8.797,15.499,11.411,14.377,16.257,12.818,14.041,21.091,22.794,22.778,17.755,175.274,188.890,172.900,164.127,0.762,0.732,0.766,0.789,89.499,90.442,104.014,73.888
French,S17,Reading,American,British,P1,C,Low,PLAT,1061.702,1194.807,-1.323,-5.706,-0.103,1.781,-3.098,4.344,-5.996,-7.511,1.775,-10.050,5.893,9.292,-5.966,14.164,-15.097,-16.792,11.996,9.187,13.391,13.360,12.827,5.894,13.297,19.081,10.411,8.050,9.494,13.576,21.087,19.483,20.221,23.574,145.522,94.277,173.124,169.328,0.606,0.628,0.616,0.575,45.145,43.098,45.150,47.095
French,S17,Reading,American,British,P10,M,High,RUE,1127.678,1293.626,0.412,-1.176,1.382,1.022,-3.060,3.944,-4.286,-8.682,3.473,-5.120,5.668,9.704,3.813,6.650,2.611,2.219,10.488,4.870,12.734,13.767,18.662,15.255,19.317,21.348,16.469,15.117,17.071,17.185,19.346,17.237,19.987,20.782,180.196,184.235,178.045,178.365,0.748,0,0.750,0.744,54.266,0,53.516,55.796
French,S17,Reading,American,British,P11,M,High,ROUE,724.353,879.930,2.077,1.718,2.690,1.844,-5.511,-3.444,-6.157,-6.914,7.587,5.162,8.848,8.759,4.813,5.462,5.078,3.937,11.180,11.515,11.058,10.945,21.848,18.565,22.884,24.081,12.008,7.158,12.108,16.758,18.564,17.507,19.303,18.917,175.509,175.142,176.612,174.770,0.721,0.710,0.717,0.737,78.470,79.819,86.373,69.035
French,S17,Reading,American,British,P13,M,High,RUE,989.865,1131.612,0.175,-0.122,0.924,-0.235,-9.045,-7.955,-9.039,-10.121,9.220,7.833,9.963,9.885,2.261,2.377,2.216,2.190,11.948,12.486,11.643,11.711,19.350,13.632,21.227,23.176,13.782,13.148,17.330,11.031,18.337,17.561,20.706,16.829,171.177,175.642,171.131,166.844,0.709,0.717,0.698,0.711,63.835,65.765,67.555,58.145
French,S17,Reading,American,British,P14,C,High,IL,982.108,1120.398,-6.430,-9.016,-2.053,-8.082,-5.771,-7.959,-8.177,-1.048,-0.659,-1.056,6.124,-7.034,3.113,2.189,1.547,5.714,6.670,5.142,11.804,3.252,12.259,8.646,17.178,11.061,4.522,-1.970,9.468,6.221,16.446,13.882,17.444,18.049,136.936,187.204,136.066,87.271,0.739,0.719,0.758,0.740,44.169,30.396,44.613,57.498
French,S17,Reading,American,British,P15,M,High,ROUE,922.059,975.647,-4.624,-12.872,-0.807,0.104,-9.143,-12.706,-5.341,-9.047,4.519,-0.166,4.534,9.150,3.818,0.381,7.328,4.030,12.196,5.733,15.841,15.187,22.016,12.074,26.369,27.931,7.336,-0.873,10.471,12.615,15.640,12.636,14.975,19.279,192.617,210.076,189.940,177.671,0.737,0.651,0.762,0.765,46.821,37.691,41.467,57.756
French,S17,Reading,American,British,P16,M,Low,PLAT,1015.322,1202.014,4.117,5.174,4.865,2.309,-0.349,1.931,0.964,-3.941,4.466,3.244,3.901,6.250,10.231,11.790,8.088,10.748,25.573,22.600,28.921,25.320,31.275,30.911,33.635,29.308,22.082,16.327,25.441,24.574,23.203,23.669,25.219,20.755,157.718,164.008,153.607,155.354,0.643,0.581,0.667,0.680,43.165,48.761,42.906,37.911
French,S17,Reading,American,British,P17,C,Low,PÂTE,908.013,1158.665,1.548,4.858,2.785,-2.955,-2.853,1.821,-1.190,-9.133,4.401,3.037,3.975,6.178,10.228,11.604,13.301,5.877,24.076,26.103,26.758,19.479,28.565,34.066,29.016,22.653,23.274,24.734,25.706,19.510,21.687,24.944,23.832,16.313,175.655,169.533,166.668,190.504,0.596,0.540,0.543,0.705,30.678,35.122,27.679,29.270
French,S17,Reading,American,British,P18,M,Low,PLAT,965.618,1074.522,3.375,1.971,4.468,3.729,-0.884,-3.703,0.919,0.193,4.259,5.674,3.549,3.536,10.799,8.480,15.645,8.525,22.218,23.295,22.606,20.821,25.109,23.233,28.152,24.064,22.663,21.016,23.628,23.376,22.536,19.318,24.096,24.220,173.016,178.538,172.974,167.677,0.615,0.750,0.554,0.565,33.244,30.093,32.576,36.556
French,S17,Reading,American,British,P19,C,Low,PLAT,921.652,1103.158,1.848,4.586,4.119,-3.141,-2.698,-0.418,0.518,-8.173,4.545,5.004,3.600,5.032,10.035,10.778,10.442,8.976,24.726,24.442,28.942,20.796,27.117,30.548,29.731,21.059,21.916,23.785,26.304,15.683,20.871,22.219,23.650,16.721,160.098,170.279,161.030,149.079,0.551,0.513,0.553,0.641,35.495,38.285,35.230,29.320
French,S17,Reading,American,British,P22,M,Low,PLAT,1036.707,1171.540,1.203,-0.716,2.297,2.070,-7.566,-10.316,-6.200,-6.092,8.770,9.600,8.498,8.162,-18.844,-18.952,-23.085,-14.659,14.552,15.519,14.395,13.735,13.897,15.683,13.119,12.851,10.474,9.136,8.750,13.489,21.465,18.246,23.516,22.689,169.842,181.206,167.471,160.791,0.588,0.579,0.581,0.604,40.587,33.565,42.578,43.902
French,S17,Reading,American,British,P23,M,High,IL,817.765,926.668,-3.422,-6.369,-2.452,-1.464,-5.314,-6.197,-4.018,-5.643,1.892,-0.172,1.566,4.179,3.961,1.199,5.469,5.218,12.035,0.191,14.260,21.377,16.120,15.444,14.267,18.526,-0.628,-12.750,0.667,9.814,16.357,15.054,16.010,17.972,179.705,186.486,177.683,175.032,0.742,0.683,0.780,0.766,57.971,51.262,59.631,63.206
French,S17,Reading,American,British,P25,C,Low,PLAT,915.647,1145.555,3.407,4.666,4.072,1.517,-1.157,-0.263,0.726,-3.875,4.565,4.928,3.346,5.393,13.209,9.425,15.073,15.159,23.903,20.940,25.173,25.592,24.047,19.658,27.370,25.064,25.736,25.605,26.702,24.984,22.582,22.775,23.431,21.600,166.263,171.694,162.583,164.518,0.571,0.529,0.586,0.604,38.164,44.001,39.129,30.120
French,S17,Reading,American,British,P26,C,High,IL,932.756,1055.489,-2.624,-2.712,-5.276,0.094,-3.567,-6.345,-1.183,-3.197,0.942,3.633,-4.093,3.291,3.475,3.476,2.129,4.817,13.704,16.332,7.209,17.456,16.357,17.079,13.269,18.656,7.419,8.738,2.077,11.429,16.246,14.858,16.542,17.326,165.893,172.963,138.988,185.618,0.773,0.758,0.794,0.767,47.320,39.493,46.659,55.810
French,S17,Reading,American,British,P27,M,Low,PLAT,888.374,1066.423,2.596,2.364,3.395,2.056,-2.336,-3.155,0.225,-3.993,4.932,5.518,3.170,6.049,12.606,11.133,20.107,6.800,24.249,24.085,27.449,21.295,28.985,29.136,31.270,26.491,22.762,24.173,24.313,19.859,23.556,21.181,24.800,24.784,170.901,177.632,169.086,165.812,0.548,0.518,0.526,0.598,42.289,44.998,42.103,39.951
French,S17,Reading,American,British,P6,C,Low,PÂTE,888.431,1083.766,4.912,7.204,6.532,1.009,3.169,3.214,1.904,4.335,1.744,3.991,4.627,-3.326,12.368,12.763,11.415,12.978,26.139,26.345,30.515,21.631,29.141,28.516,32.768,26.215,24.769,22.536,28.651,23.229,20.900,21.930,23.446,17.334,136.545,161.611,156.007,92.382,0.646,0.600,0.619,0.719,46.200,56.055,42.063,40.482
French,S17,Reading,American,British,P9,M,High,IL,813.784,922.688,2.500,3.105,3.026,1.428,-5.870,-5.682,-6.010,-5.930,8.370,8.787,9.036,7.358,2.014,2.582,1.581,1.848,10.780,11.447,10.930,9.997,23.200,23.087,23.769,22.797,15.079,14.815,15.226,15.172,18.548,17.481,20.116,18.092,164.941,167.948,164.257,162.670,0.733,0.749,0.738,0.712,64.796,71.595,63.892,58.714
English,S1,Reading,American,American,P1,M,Low,TRAP,960.854,1226.427,5.265,7.063,5.225,3.520,-3.088,-2.114,-2.850,-4.306,8.353,9.177,8.074,7.826,10.660,10.657,8.093,13.264,29.325,26.748,30.124,31.129,27.089,22.797,30.299,28.187,29.584,26.161,32.018,30.607,22.721,22.888,22.473,22.805,192.836,200.939,189.577,187.992,0.654,0.666,0.653,0.641,107.080,114.192,106.198,100.840
English,S1,Reading,American,American,P11,M,High,KIT,903.795,1052.940,3.833,3.776,5.070,2.723,-6.308,-7.476,-6.945,-4.494,10.141,11.252,12.015,7.217,-5.789,-5.325,-9.884,-2.319,15.674,14.290,16.690,16.080,8.920,10.390,8.143,8.169,14.608,14.525,11.891,17.290,24.205,22.539,26.610,23.593,206.934,217.659,206.649,196.455,0.622,0.636,0.621,0.609,87.904,92.834,87.930,82.847
English,S1,Reading,American,American,P13,M,High,FLEECE,892.489,1138.139,0.346,-2.464,1.423,2.076,-0.858,-6.035,2.398,1.110,1.204,3.570,-0.976,0.966,3.990,3.205,4.333,4.428,14.098,15.802,11.271,15.146,5.208,4.547,4.152,6.838,10.806,9.237,11.758,11.416,22.037,18.163,24.472,23.521,200.827,196.972,202.630,202.906,0.559,0.518,0.569,0.587,100.806,95.461,105.967,100.860
English,S1,Reading,American,American,P14,M,High,KIT,927.576,1092.074,4.716,3.720,6.736,3.712,-4.982,-7.018,-6.158,-1.732,9.698,10.738,12.894,5.444,-5.649,-7.960,-8.471,-0.602,16.492,15.407,19.376,14.687,9.923,8.897,10.858,9.909,10.021,6.577,8.904,14.398,24.049,22.110,25.690,24.364,206.438,211.308,207.902,200.274,0.655,0.672,0.662,0.632,115.631,111.232,115.327,119.933
English,S1,Reading,American,American,P16,M,High,GOOSE,731.254,946.198,5.637,5.942,5.711,5.253,6.621,7.437,6.492,5.923,-0.983,-1.494,-0.781,-0.671,-2.757,-1.807,-3.717,-2.765,-0.037,-0.037,-0.037,-0.038,11.103,8.208,10.831,14.296,11.611,9.921,13.193,11.745,23.673,22.360,24.117,24.549,212.980,217.597,212.587,208.686,0.693,0.706,0.687,0.687,114.457,115.118,114.836,113.425
English,S1,Reading,American,American,P19,M,High,GOOSE,756.756,995.826,1.571,3.438,1.706,-0.410,5.015,5.873,5.416,3.773,-3.445,-2.435,-3.711,-4.183,-5.494,-6.724,-6.011,-3.776,0.966,0.300,0.927,1.660,11.482,8.729,11.482,14.220,5.850,6.408,5.440,5.725,23.488,23.885,22.955,23.639,199.545,203.362,199.123,196.203,0.614,0.614,0.615,0.615,123.674,133.885,124.094,111.526
English,S1,Reading,American,American,P2,M,High,KIT,1455.001,1593.180,4.462,3.418,5.856,4.171,-4.234,-6.608,-1.710,-4.314,8.697,10.025,7.566,8.485,-5.150,-7.398,-5.780,-2.331,15.593,16.177,15.500,15.081,10.283,13.818,10.672,6.348,13.639,13.888,13.567,13.436,22.277,19.217,24.153,23.508,209.048,213.725,211.336,202.094,0.656,0.671,0.672,0.620,86.307,86.020,85.617,87.482
English,S1,Reading,American,American,P21,M,High,FLEECE,826.988,1059.705,-2.313,-2.853,-2.054,-2.007,-4.380,-6.171,-4.142,-2.805,2.066,3.318,2.088,0.798,3.725,1.976,4.246,4.953,18.716,18.680,20.808,16.750,6.303,7.137,3.247,8.430,11.178,9.793,12.457,11.361,20.725,21.520,22.983,17.765,200.550,204.334,198.354,198.913,0.578,0.558,0.568,0.606,97.384,100.397,97.549,94.322
English,S1,Reading,American,American,P22,M,High,FLEECE,1372.688,1545.959,-1.430,-4.189,-1.533,1.393,1.571,-0.503,1.931,3.295,-3.002,-3.686,-3.465,-1.902,4.408,3.642,4.514,5.057,4.186,2.809,1.055,8.566,3.510,2.903,0.801,6.770,5.744,2.068,5.507,9.663,21.971,20.997,21.891,23.037,200.043,200.013,199.210,200.888,0.620,0.595,0.636,0.630,82.717,90.228,79.743,78.232
English,S1,Reading,American,American,P23,M,High,GOOSE,1024.306,1232.435,4.329,2.065,5.658,5.328,-2.812,-4.961,-1.071,-2.351,7.141,7.026,6.729,7.680,4.107,3.382,5.161,3.793,18.671,16.117,21.324,18.636,23.380,22.984,25.616,21.604,15.040,16.099,15.206,13.807,21.355,18.966,23.598,21.586,209.240,214.860,207.235,205.490,0.661,0.630,0.671,0.680,119.358,126.982,119.090,112.778
English,S1,Reading,American,American,P24,M,High,GOOSE,1073.603,1336.799,7.736,7.621,9.442,6.175,-3.366,-5.494,-4.260,-0.379,11.102,13.115,13.702,6.554,1.755,-0.123,1.358,4.008,16.725,15.745,17.380,17.048,29.052,28.802,31.241,27.133,19.189,21.941,22.134,13.578,21.997,19.747,22.306,23.905,211.016,211.887,210.650,210.520,0.649,0.657,0.658,0.632,99.913,101.120,102.595,95.978
English,S1,Reading,American,American,P25,M,High,FLEECE,1335.434,1585.471,-1.062,-3.057,0.370,-0.453,-7.182,-7.658,-5.899,-7.948,6.119,4.600,6.269,7.496,2.442,3.147,2.576,1.587,18.424,18.461,19.344,17.465,11.363,9.582,12.163,12.377,14.814,10.812,15.866,17.772,21.489,20.157,22.498,21.857,193.701,194.545,192.463,194.064,0.581,0.569,0.589,0.584,94.633,99.557,96.924,87.865
English,S1,Reading,American,American,P26,M,High,FLEECE,1088.878,1312.822,0.311,-1.451,0.579,1.830,2.444,0.279,4.075,3.049,-2.133,-1.729,-3.496,-1.219,3.982,2.705,4.287,4.971,6.640,7.925,2.489,9.374,3.270,2.835,4.536,2.473,8.972,5.400,10.519,10.987,22.723,21.066,23.421,23.718,206.939,212.318,205.467,202.993,0.600,0.568,0.598,0.633,109.448,114.887,109.704,104.121
English,S1,Reading,American,American,P27,M,Low,LOT,1218.191,1474.807,5.089,5.435,4.927,4.913,-3.293,-2.217,-2.817,-4.822,8.382,7.652,7.744,9.736,14.128,15.791,19.010,7.733,27.891,28.127,27.717,27.832,34.188,34.786,36.100,31.754,21.905,19.996,20.561,25.115,22.083,22.321,22.198,21.722,202.964,209.062,201.278,198.510,0.600,0.577,0.596,0.628,134.327,144.862,125.192,133.159
English,S1,Reading,American,American,P5,M,High,KIT,1007.190,1158.755,4.976,4.268,6.740,4.015,-2.377,-2.001,0.413,-5.442,7.353,6.269,6.327,9.457,1.934,5.619,3.369,-3.193,18.621,20.512,18.947,16.438,15.254,21.935,15.533,8.299,17.480,20.793,16.849,14.772,24.504,21.242,26.909,25.507,201.151,205.745,200.839,196.865,0.651,0.649,0.671,0.633,121.561,123.560,116.433,124.914
English,S1,Reading,American,American,P6,M,Low,TRAP,1238.982,1502.178,3.038,3.557,3.792,1.796,-2.785,-1.573,-2.444,-4.327,5.823,5.130,6.236,6.123,6.193,8.451,2.886,7.139,21.941,19.968,22.959,22.942,26.170,22.346,28.398,27.840,23.776,20.198,26.773,24.454,23.520,22.858,23.921,23.793,190.506,192.637,190.943,187.957,0.600,0.559,0.616,0.625,75.012,82.849,75.013,67.174
English,S1,Reading,American,American,P7,M,High,FLEECE,1211.969,1404.980,-1.180,-1.443,-1.853,-0.236,1.360,0.034,0.840,3.238,-2.539,-1.476,-2.693,-3.473,2.609,2.898,2.327,2.594,3.471,9.639,0.182,0.550,1.289,1.695,1.845,0.310,9.722,7.349,10.945,11.048,21.276,21.078,20.239,22.506,209.196,216.332,203.803,207.478,0.634,0.621,0.645,0.636,86.408,87.806,83.417,88.022
French,S1,Reading,American,American,P1,M,Low,PLAT,1079.246,1291.997,-0.244,-1.374,0.804,-0.144,4.121,3.235,4.581,4.575,-4.365,-4.609,-3.777,-4.719,-14.284,-12.421,-16.891,-13.612,5.193,3.956,6.795,4.822,3.029,1.277,3.308,4.432,-0.854,0.251,-2.138,-0.744,23.704,21.044,24.462,25.645,203.138,206.301,202.073,201.009,0.642,0.636,0.633,0.658,119.287,120.544,117.077,120.306
French,S1,Reading,American,American,P10,M,High,RUE,1089.710,1252.014,3.652,4.704,3.655,2.600,5.524,6.119,5.652,4.811,-1.872,-1.415,-1.997,-2.211,0.750,0.201,0.484,1.554,-0.040,-0.044,-0.047,-0.028,10.115,12.580,8.637,9.078,16.562,18.339,17.967,13.368,22.771,23.836,22.674,21.765,200.400,202.665,200.421,198.117,0.635,0.619,0.641,0.645,110.588,112.480,111.398,107.935
French,S1,Reading,American,American,P11,M,High,ROUE,758.906,953.530,4.747,1.620,7.258,5.431,-0.313,4.155,-2.488,-2.634,5.060,-2.535,9.746,8.065,6.902,9.774,4.958,5.940,15.728,8.001,17.695,21.607,25.589,16.716,30.271,29.874,10.368,6.783,9.675,14.739,17.624,16.210,18.357,18.346,227.447,219.192,226.552,236.600,0.611,0.633,0.535,0.665,104.019,108.612,103.775,100.094
French,S1,Reading,American,American,P13,M,High,RUE,960.199,1137.277,0.469,1.664,2.706,-2.901,3.935,3.126,5.101,3.625,-3.467,-1.461,-2.395,-6.525,4.945,4.574,5.915,4.359,8.295,10.248,13.728,1.001,9.099,12.314,9.992,5.053,9.957,12.083,12.987,4.905,22.648,20.640,24.355,23.001,229.708,217.232,230.057,241.850,0.684,0.604,0.704,0.743,98.261,100.063,92.315,102.405
French,S1,Reading,American,American,P14,M,High,IL,989.324,1149.662,0.706,-2.118,4.305,0.101,-0.203,-0.610,1.394,-1.309,0.909,-1.508,2.912,1.410,2.184,2.242,2.570,1.756,14.099,7.476,19.878,15.103,6.886,4.423,12.816,3.664,6.727,1.808,8.963,9.500,21.015,15.490,23.182,24.471,220.017,211.177,220.565,228.358,0.484,0.513,0.472,0.470,87.139,102.645,87.313,72.421
French,S1,Reading,American,American,P15,M,High,ROUE,853.841,971.582,-0.821,-5.178,2.054,0.761,-4.370,-7.536,-4.255,-1.380,3.549,2.358,6.309,2.140,3.341,1.902,3.366,4.735,17.501,13.091,19.882,19.626,22.278,16.456,26.884,23.705,9.232,5.483,12.808,9.554,19.690,15.774,21.772,21.573,222.006,220.068,219.630,226.100,0.574,0.525,0.593,0.598,110.401,118.326,108.528,105.364
French,S1,Reading,American,American,P16,M,Low,PLAT,913.901,1120.072,6.516,5.381,7.056,7.133,-0.830,-1.627,0.346,-1.163,7.346,7.008,6.710,8.296,9.945,9.726,8.579,11.501,26.760,26.095,28.310,25.913,28.756,27.673,27.833,30.747,21.339,21.099,20.493,22.418,24.824,23.226,26.093,25.204,198.116,196.753,196.751,200.796,0.650,0.638,0.650,0.661,84.147,89.092,82.616,80.946
French,S1,Reading,American,American,P17,M,Low,PÂTE,921.477,1178.094,6.416,7.459,6.686,5.093,-2.746,-0.956,-2.659,-4.632,9.162,8.415,9.345,9.725,14.794,17.707,16.712,9.932,32.060,33.728,35.443,26.981,31.199,35.053,31.029,27.482,30.188,30.041,33.585,26.965,22.451,20.186,22.434,24.732,193.182,194.828,191.437,193.234,0.674,0.651,0.680,0.691,108.856,116.717,109.786,100.076
French,S1,Reading,American,American,P18,M,Low,PLAT,945.683,1138.694,6.841,6.052,8.093,6.411,-0.441,-1.580,0.335,-0.063,7.282,7.631,7.759,6.474,12.925,10.688,16.986,11.211,25.624,24.283,26.402,26.187,28.936,26.943,30.508,29.365,23.092,22.957,26.324,20.117,25.761,24.033,26.501,26.761,210.472,206.639,208.080,216.532,0.567,0.576,0.573,0.554,99.318,102.933,101.584,93.436
French,S1,Reading,American,American,P19,M,Low,PLAT,973.128,1197.072,8.507,9.611,8.003,7.890,-7.713,-6.950,-7.609,-8.575,16.220,16.561,15.611,16.465,15.015,15.753,12.952,16.289,36.120,37.445,34.524,36.320,32.713,33.908,29.190,34.907,27.866,28.262,25.818,29.428,23.935,23.922,24.044,23.866,199.725,201.270,199.040,198.840,0.698,0.695,0.701,0.699,92.659,94.878,91.751,91.377
